z,A,a_eff,shear_integral,horizon_approach
0.0,1.0,1.0,0.0,False
1.001,0.9990044717,0.9990044717,0.0686738773,False
2.002,0.9980197379,0.9980197379,0.1077490638,False
3.003,0.9970455772,0.9970455772,0.1346011039,False
4.004,0.9960817751,0.9960817751,0.1547038098,False
5.005,0.9951281233,0.9951281233,0.1705082141,False
6.006,0.9941844196,0.9941844196,0.1833286742,False
7.007,0.9932504679,0.9932504679,0.1939538838,False
8.008,0.9923260774,0.9923260774,0.2028952443,False
9.009,0.9914110631,0.9914110631,0.2105037662,False
10.01,0.990505245,0.990505245,0.2170311137,False
11.011,0.9896084483,0.9896084483,0.2226640637,False
12.012,0.988720503,0.988720503,0.2275451797,False
13.013,0.9878412438,0.9878412438,0.2317858352,False
14.014,0.9869705099,0.9869705099,0.235474756,False
15.015,0.9861081449,0.9861081449,0.238683816,False
16.016,0.9852539966,0.9852539966,0.2414720823,False
17.017,0.9844079168,0.9844079168,0.2438887113,False
18.018,0.9835697611,0.9835697611,0.2459750656,False
19.019,0.9827393892,0.9827393892,0.2477662918,False
20.02,0.9819166641,0.9819166641,0.2492925166,False
21.021,0.9811014526,0.9811014526,0.2505797661,False
22.022,0.9802936248,0.9802936248,0.251650683,False
23.023,0.9794930539,0.9794930539,0.2525250928,False
24.024,0.9786996166,0.9786996166,0.253220455,False
25.025,0.9779131925,0.9779131925,0.2537522276,False
26.026,0.9771336641,0.9771336641,0.2541341625,False
27.027,0.976360917,0.976360917,0.2543785489,False
28.028,0.9755948394,0.9755948394,0.2544964138,False
29.029,0.9748353223,0.9748353223,0.2544976893,False
30.03,0.9740822593,0.9740822593,0.2543913529,False
31.031,0.9733355464,0.9733355464,0.2541855456,False
32.032,0.9725950822,0.9725950822,0.2538876722,False
33.033,0.9718607676,0.9718607676,0.2535044872,False
34.034,0.9711325059,0.9711325059,0.2530421676,False
35.035,0.9704102024,0.9704102024,0.2525063769,False
36.036,0.969693765,0.969693765,0.2519023192,False
37.037,0.9689831031,0.9689831031,0.2512347872,False
38.038,0.9682781287,0.9682781287,0.2505082033,False
39.039,0.9675787554,0.9675787554,0.2497266563,False
40.04,0.966884899,0.966884899,0.2488939333,False
41.041,0.9661964768,0.9661964768,0.2480135476,False
42.042,0.9655134082,0.9655134082,0.247088764,False
43.043,0.9648356144,0.9648356144,0.2461226208,False
