z,A,R_tilde,K_tilde,det_g
0.0,1.0,18237.613981,93551694.301315,-2.0
1.001,0.9999004025,40311.02892,621642865.052257,-0.031196756882923
2.002,0.9998017971,82347.519218,4283632945.321771,-0.002739599155087
3.003,0.9997041642,164208.564232,21437958455.548393,-0.000487970276534
4.004,0.9996074849,299529.895853,78534064885.80272,-0.000128042861651
5.005,0.9995117409,501569.729932,230115987871.41614,-4.2926936255e-05
6.006,0.9994169144,783624.858652,574056046345.9614,-1.7042468559e-05
7.007,0.999322988,1159020.999276,1270004939156.9905,-7.65731041e-06
8.008,0.9992299448,1641096.934115,2561007839307.0835,-3.781494866e-06
9.009,0.9991377685,2243196.395188,4798233584314.547,-2.01198564e-06
10.01,0.9990464432,2978663.640105,8468766003913.644,-1.137043422e-06
11.011,0.9989559533,3860840.639046,14226408478565.473,-6.75390079e-07
12.012,0.9988662838,4903065.018004,22925454762733.17,-4.18302897e-07
13.013,0.9987774201,6118668.398392,35657380943979.164,-2.68466955e-07
14.014,0.9986893478,7520974.9714,53790415153471.125,-1.77671742e-07
15.015,0.998602053,9123300.229106,79011943302734.48,-1.20767858e-07
16.016,0.9985155223,10938949.81172,113373710701064.16,-8.4039086e-08
17.017,0.9984297423,12981218.448026,159339780912760.88,-5.9709232e-08
18.018,0.9983447003,15263388.974985,219837214647639.56,-4.3216991e-08
19.019,0.9982603837,17798731.427148,298309432846070.25,-3.1804869e-08
20.02,0.9981767803,20600502.189138,398772229424915.6,-2.3760362e-08
21.021,0.9980938782,23681943.205983,525872400396614.06,-1.7993916e-08
22.022,0.9980116659,27056281.247074,684948957263588.6,-1.3797024e-08
23.023,0.9979301318,30736727.220121,882096893727100.9,-1.0699741e-08
24.024,0.9978492651,34736475.53189,1124233475836648.5,-8.384683e-09
25.025,0.997769055,39068703.492924,1419167026745717.2,-6.633919e-09
26.026,0.9976894908,43746570.763599,1775668178234128.5,-5.295523e-09
27.027,0.9976105624,48783218.839102,2203543562109749.2,-4.262085e-09
28.028,0.9975322597,54191770.571146,2713711915514386.5,-3.456677e-09
29.029,0.9974545729,59985329.724315,3318282575032008.0,-2.823536e-09
30.03,0.9973774924,66176980.565065,4030636335335575.5,-2.321788e-09
31.031,0.997301009,72779787.481624,4865508648911871.0,-1.921154e-09
32.032,0.9972251134,79806794.632995,5839075144173540.0,-1.598989e-09
33.033,0.9971497968,87271025.625499,6969039440008644.0,-1.338198e-09
34.034,0.9970750504,95185483.215301,8274723235525917.0,-1.125766e-09
35.035,0.9970008656,103563149.035474,9777158654438526.0,-9.51704e-10
36.036,0.9969272343,112416983.346332,1.1499182824181922e+16,-8.08285e-10
37.037,0.9968541481,121759924.807574,1.3465534670493036e+16,-6.89491e-10
38.038,0.9967815992,131604890.271211,1.570295390878395e+16,-5.90604e-10
39.039,0.9967095797,141964774.594023,1.8240282214223976e+16,-5.07897e-10
40.04,0.996638082,152852450.468501,2.1108566553008148e+16,-4.38411e-10
41.041,0.9965670986,164280768.271178,2.43411646578261e+16,-3.79783e-10
42.042,0.9964966222,176262555.927595,2.7973852631070864e+16,-3.30115e-10
43.043,0.9964266457,188810618.792732,3.2044934659819692e+16,-2.87874e-10
44.044,0.996357162,201937739.54606,3.659535482711064e+16,-2.51817e-10
45.045,0.9962881643,215656678.100672,4.166881100449997e+16,-2.20928e-10
46.046,0.9962196459,229980171.525378,4.731187081133141e+16,-1.94378e-10
47.047,0.9961516002,244920933.979321,5.357408962658849e+16,-1.71483e-10
48.048,0.9960840207,260491656.658022,6.05081306396076e+16,-1.51679e-10
49.049,0.9960169011,276705007.750669,6.816988692635201e+16,-1.34497e-10
50.0501,0.9959502353,293573632.407901,7.661860553831131e+16,-1.19547e-10
51.0511,0.9958840172,311110152.718881,8.591701359148464e+16,-1.06504e-10
