z,s_standard,s_tep,s_comoving_std,s_comoving_tep
0.0,2900000.0,2900000.0,1.0,1.0
1.001,23234852.272596,23241796.052309,,
2.002,78456861.38914,78503531.020611,,
3.003,186018331.923894,186183522.300956,,
4.004,363371568.45112,363799791.024964,,
5.005,627968875.545078,628889608.990644,,
6.006,997262557.78003,999009062.445048,,
7.007,1488704919.730237,1491732631.898024,,
8.008,2119748265.969961,2124652787.194695,,
9.009,2907844901.073462,2915379597.119516,,
10.01,3870447129.615003,3881540352.846709,,
11.011,5025007256.168847,5040779204.591196,,
12.012,6388977585.309251,6410756810.850687,,
13.013,7979810421.610477,8009149999.663814,,
14.014,9814958069.646791,9853651441.341133,,
15.015,11911872833.99245,11961969332.155674,,
16.016,14288007019.221718,14351827088.507801,,
17.017,16960812929.908854,17040963051.10513,,
18.018,19947742870.628117,20047130198.722992,,
19.019,23266249145.953773,23388095871.13383,,
20.02,26933784060.460083,27081641500.815487,,
21.021,30967799918.72132,31145562353.068676,,
22.022,35385749025.31172,35597667274.19284,,
23.023,40205083684.805534,40455778447.38775,,
24.024,45443256201.777115,45737731156.06469,,
25.025,51117718880.80059,51461373554.266594,,
26.026,57245924026.4503,57644566443.91322,,
27.027,63845323943.3005,64305183058.59819,,
28.028,70933370935.92548,71461108853.68138,,
29.029,78527517308.89941,79130241302.43022,,
30.03,86645215366.79663,87330489697.9768,,
31.031,95303917414.19138,96079774960.867,,
32.032,104521075755.65791,105396029451.9907,,
33.033,114314142695.77048,115297196790.68945,,
34.034,124700570539.1034,125801231677.84999,,
35.035,135697811590.23085,136926099723.79762,,
36.036,147323318153.72714,148689777280.81635,,
37.037,159594542534.16653,161110251280.12482,,
38.038,172528937036.12332,174205519073.15057,,
39.039,186143953964.1717,187993588276.94733,,
40.04,200457045622.88596,202492476623.6104,,
41.041,215485664316.84042,217720211813.54877,,
42.042,231247262350.60925,233694831372.48074,,
43.043,247759292028.7667,250434382512.02515,,
44.044,265039205655.88715,267956921993.76398,,
45.045,283104455536.5447,286280515996.66003,,
46.046,301972493975.31366,305423239987.71686,,
47.047,321660773276.76843,325403178595.7725,,
48.048,342186745745.483,346238425488.323,,
49.049,363567863686.03204,367947083251.2789,,
50.0501,385821579402.9897,390547263271.5551,,
51.0511,408965345200.92975,414057085622.40717,,
52.0521,433016613384.42694,438494678951.42444,,
53.0531,457992836258.0554,463878180371.0944,,
54.0541,483911466126.38947,490225735351.8587,,
55.0551,510789955294.00305,517555497617.584,,
56.0561,538645756065.47144,545885629043.37195,,
57.0571,567496320745.3674,575234299555.6324,,
58.0581,597359101638.2662,605619687034.3622,,
59.0591,628251551048.7421,637059977217.5465,,
60.0601,660191121281.3688,669573363607.6348,,
61.0611,693195264640.7206,703178047380.0182,,
62.0621,727281433431.3726,737892237293.4575,,
63.0631,762467079957.8983,773734149602.3942,,
64.0641,798769656524.872,810722007971.1028,,
65.0651,836206615436.8683,848874043389.621,,
66.0661,874795408998.461,888208494091.4102,,
67.0671,914553489514.225,928743605472.6974,,
68.0681,955498309288.734,970497630013.4508,,
69.0691,997647320626.5624,1013488827199.9426,,
70.0701,1041017975832.2845,1057735463448.8555,,
71.0711,1085627727210.4747,1103255812032.8892,,
72.0721,1131494027065.7073,1150068153007.8274,,
73.0731,1178634327702.5562,1198190773141.024,,
74.0741,1227066081425.5957,1247641965841.2688,,
75.0751,1276806740539.4006,1298440031090.0027,,
76.0761,1327873757348.5447,1350603275373.833,,
77.0771,1380284584157.602,1404150011618.3284,,
78.0781,1434056673271.1475,1459098559123.0547,,
79.0791,1489207476993.755,1515467243497.8123,,
80.0801,1545754447629.9988,1573274396600.0544,,
81.0811,1603715037484.454,1632538356473.4526,,
82.0821,1663106698861.6929,1693277467287.5713,,
83.0831,1723946884066.2913,1755510079278.6438,,
84.0841,1786253045402.823,1819254548691.393,,
85.0851,1850042635175.8625,1884529237721.9016,,
86.0861,1915333105689.9836,1951352514461.4773,,
87.0871,1982141909249.7615,2019742752841.5125,,
88.0881,2050486498159.769,2089718332579.2942,,
89.0891,2120384324724.5818,2161297639124.7585,,
90.0901,2191852841248.7734,2234499063608.1514,,
91.0911,2264909500036.918,2309341002788.5796,,
92.0921,2339571753393.5903,2385841859003.4424,,
93.0931,2415857053623.364,2464020040118.694,,
94.0941,2493782853030.814,2543893959479.9575,,
95.0951,2573366603920.5156,2625482035864.4277,,
96.0961,2654625758597.039,2708802693433.5713,,
97.0971,2737577769364.9624,2793874361686.614,,
98.0981,2822240088528.8574,2880715475414.752,,
99.0991,2908630168393.304,2969344474656.1396,,
100.1001,2996765461262.8677,3059779804651.5444,,
101.1011,3086663419442.13,3152039915800.7764,,
102.1021,3178341495235.659,3246143263619.732,,
103.1031,3271817140948.0356,3342108308698.172,,
104.1041,3367107808883.83,3439953516658.1133,,
105.1051,3464230951347.6157,3539697358112.892,,
106.1061,3563204020643.973,3641358308626.848,,
107.1071,3664044469077.467,3744954848675.608,,
108.1081,3766769748952.678,3850505463607.0083,,
109.1091,3871397312574.178,3958028643602.5664,,
110.1101,3977944612246.545,4067542883639.5645,,
111.1111,4086429100274.349,4179066683453.6597,,
112.1121,4196868228962.167,4292618547502.085,,
113.1131,4309279450614.5703,4408216984927.367,,
114.1141,4423680217536.137,4525880509521.584,,
115.1151,4540087982031.436,4645627639691.13,,
116.1161,4658520196405.046,4767476898422.007,,
117.1171,4778994312961.538,4891446813245.592,,
118.1181,4901527784005.491,5017555916204.918,,
119.1191,5026138061841.476,5145822743821.389,,
120.1201,5152842598774.067,5276265837062.021,,
121.1211,5281658847107.842,5408903741307.099,,
122.1221,5412604259147.368,5543755006318.272,,
123.1231,5545696287197.226,5680838186207.161,,
124.1241,5680952383561.984,5820171839404.296,,
125.1251,5818390000546.226,5961774528628.571,,
126.1261,5958026590454.518,6105664820857.04,,
127.1271,6099879605591.4375,6251861287295.17,,
128.1281,6243966498261.556,6400382503347.467,,
129.1291,6390304720769.452,6551247048588.507,,
130.1301,6538911725419.693,6704473506734.332,,
131.1311,6689804964516.863,6860080465614.257,,
132.1321,6843001890365.526,7018086517142.996,,
133.1331,6998519955270.267,7178510257293.205,,
134.1341,7156376611535.647,7341370286068.326,,
135.1351,7316589311466.254,7506685207475.853,,
136.1361,7479175507366.651,7674473629500.843,,
137.1371,7644152651541.423,7844754164079.856,,
138.1381,7811538196295.133,8017545427075.162,,
139.1391,7981349593932.366,8192866038249.323,,
140.1401,8153604296757.686,8370734621240.026,,
141.1411,8328319757075.677,8551169803535.316,,
142.1421,8505513427190.903,8734190216449.043,,
143.1431,8685202759407.948,8919814495096.695,,
144.1441,8867405206031.379,9108061278371.457,,
145.1451,9052138219365.777,9298949208920.62,,
146.1461,9239419251715.709,9492496933122.223,,
147.1471,9429265755385.758,9688723101062.025,,
148.1481,9621695182680.488,9887646366510.7,,
149.1491,9816724985904.48,10089285386901.361,,
150.1502,10014372617362.305,10293658823307.305,,
151.1512,10214655529358.543,10500785340420.053,,
152.1522,10417591174197.76,10710683606527.594,,
153.1532,10623197004184.54,10923372293492.97,,
154.1542,10831490471623.443,11138870076733.01,,
155.1552,11042489028819.06,11357195635197.406,,
156.1562,11256210128075.953,11578367651347.936,,
157.1572,11472671221698.701,11802404811138.0,,
158.1582,11691889761991.877,12029325803992.346,,
159.1592,11913883201260.06,12259149322787.043,,
160.1602,12138668991807.814,12491894063829.652,,
161.1612,12366264585939.727,12727578726839.688,,
162.1622,12596687435960.365,12966222014929.178,,
163.1632,12829954994174.295,13207842634583.574,,
164.1642,13066084712886.107,13452459295642.781,,
165.1652,13305094044400.361,13700090711282.412,,
166.1662,13547000441021.646,13950755597995.29,,
167.1672,13791821355054.52,14204472675573.053,,
168.1682,14039574238803.574,14461260667088.117,,
169.1692,14290276544573.363,14721138298875.629,,
170.1702,14543945724668.48,14984124300515.83,,
171.1712,14800599231393.486,15250237404816.4,,
172.1722,15060254517052.965,15519496347795.15,,
173.1732,15322929033951.48,15791919868662.809,,
174.1742,15588640234393.62,16067526709806.02,,
175.1752,15857405570683.945,16346335616770.504,,
176.1762,16129242495127.043,16628365338244.418,,
177.1772,16404168460027.469,16913634626041.84,,
178.1782,16682200917689.82,17202162235086.502,,
179.1792,16963357320418.65,17493966923395.582,,
180.1802,17247655120518.553,17789067452063.79,,
181.1812,17535111770294.082,18087482585247.465,,
182.1822,17825744722049.832,18389231090149.01,,
183.1832,18119571428090.36,18694331737001.28,,
184.1842,18416609340720.25,19002803299052.336,,
185.1852,18716875912244.07,19314664552550.164,,
186.1862,19020388594966.406,19629934276727.688,,
187.1872,19327164841191.816,19948631253787.82,,
188.1882,19637222103224.883,20270774268888.77,,
189.1892,19950577833370.188,20596382110129.395,,
190.1902,20267249483932.297,20925473568534.715,,
191.1912,20587254507215.79,21258067438041.66,,
192.1922,20910610355525.223,21594182515484.785,,
193.1932,21237334481165.184,21933837600582.312,,
194.1942,21567444336440.258,22277051495922.176,,
195.1952,21900957373655.008,22623843006948.203,,
196.1962,22237891045114.01,22974230941946.508,,
197.1972,22578262803121.824,23328234112031.92,,
198.1982,22922090099983.043,23685871331134.668,,
199.1992,23269390388002.242,24047161415987.004,,
200.2002,23620181119483.98,24412123186110.105,,
201.2012,23974479746732.855,24780775463801.08,,
202.2022,24332303722053.39,25153137074119.92,,
203.2032,24693670497750.234,25529226844876.953,,
204.2042,25058597526127.906,25909063606619.906,,
205.2052,25427102259491.004,26292666192621.523,,
206.2062,25799202150144.082,26680053438867.027,,
207.2072,26174914650391.73,27071244184041.88,,
208.2082,26554257212538.54,27466257269519.48,,
209.2092,26937247288889.055,27865111539349.05,,
210.2102,27323902331747.867,28267825840243.707,,
211.2112,27714239793419.523,28674419021568.484,,
212.2122,28108277126208.625,29084909935328.582,,
213.2132,28506031782419.75,29499317436157.723,,
214.2142,28907521214357.45,29917660381306.406,,
215.2152,29312762874326.336,30339957630630.664,,
216.2162,29721774214630.91,30766228046580.39,,
217.2172,30134572687575.844,31196490494188.38,,
218.2182,30551175745465.633,31630763841058.8,,
219.2192,30971600840604.902,32069066957356.39,,
220.2202,31395865425298.184,32511418715795.234,,
221.2212,31823986951850.08,32957837991628.043,,
222.2222,32255982872565.16,33408343662635.22,,
223.2232,32691870639748.004,33862954609114.164,,
224.2242,33131667705703.17,34321689713868.664,,
225.2252,33575391522735.24,34784567862198.34,,
226.2262,34023059543148.773,35251607941888.17,,
227.2272,34474689219248.38,35722828843198.23,,
228.2282,34930298003338.617,36198249458853.24,,
229.2292,35389903347724.055,36677888684032.48,,
230.2302,35853522704709.25,37161765416359.62,,
231.2312,36321173526598.8,37649898555892.81,,
232.2322,36792873265697.28,38142307005114.59,,
233.2332,37268639374309.25,38639009668922.05,,
