k_Mpc,k_tilde,beta_sq,P_T,P_zeta,r_k
0.0001,0.6,0.00234569431185,1e-15,2.610257e-09,3.6e-07
0.00012068,0.7241,0.0015644430935,1e-15,2.593141e-09,4.3e-07
0.00014563,0.8738,0.000996440132369,1e-15,2.576137e-09,4.8e-07
0.00017575,1.0545,0.0006020761268,1e-15,2.559245e-09,5.2e-07
0.0002121,1.2726,0.000343227102733,1e-15,2.542463e-09,5.2e-07
0.00025595,1.5357,0.000183634082224,1e-15,2.525792e-09,4.9e-07
0.00030888,1.8533,9.1842648882e-05,1e-15,2.50923e-09,4.4e-07
0.00037276,2.2366,4.3005309978e-05,1e-15,2.492776e-09,3.6e-07
0.00044984,2.6991,1.9036772029e-05,1e-15,2.47643e-09,2.8e-07
0.00054287,3.2572,8.119670366e-06,1e-15,2.460192e-09,2.1e-07
0.00065513,3.9308,3.433816583e-06,0.0,2.44406e-09,1.6e-07
0.0007906,4.7436,1.476043111e-06,0.0,2.428033e-09,1.2e-07
0.0009541,5.7246,6.52100546e-07,0.0,2.412112e-09,1e-07
0.0011514,6.9084,2.95225977e-07,0.0,2.396296e-09,8e-08
0.0013895,8.337,1.35709955e-07,0.0,2.380583e-09,6e-08
0.00167683,10.061,6.2987045e-08,0.0,2.364973e-09,5e-08
0.00202359,12.1415,2.9383981e-08,0.0,2.349465e-09,4e-08
0.00244205,14.6523,1.3758811e-08,0.0,2.334059e-09,3e-08
0.00294705,17.6823,6.458688e-09,0.0,2.318754e-09,3e-08
0.00355648,21.3389,3.035189e-09,0.0,2.303549e-09,2e-08
0.00429193,25.7516,1.427829e-09,0.0,2.288445e-09,2e-08
0.00517947,31.0768,6.72292e-10,0.0,2.273439e-09,2e-08
0.00625055,37.5033,4.6429902e-08,5e-15,2.258531e-09,2.03e-06
0.00754312,45.2587,1.230773e-09,0.0,2.243722e-09,1e-07
0.00910298,54.6179,2.678382e-09,1e-15,2.229009e-09,3.7e-07
0.01098541,65.9125,3.978123e-09,2e-15,2.214393e-09,9.7e-07
0.01325711,79.5427,5.200875e-09,5e-15,2.199873e-09,2.23e-06
0.01599859,95.9915,2.066355e-09,3e-15,2.185448e-09,1.57e-06
0.01930698,115.8419,1.0420711e-08,3e-14,2.171117e-09,1.4e-05
0.02329952,139.7971,1.9172e-11,0.0,2.156881e-09,5e-08
0.02811769,168.7061,2.11312e-10,2e-15,2.142737e-09,8.9e-07
0.03393222,203.5933,6.8053e-11,1e-15,2.128687e-09,5.1e-07
0.04094915,245.6949,7.103e-12,0.0,2.114729e-09,9e-08
0.04941713,296.5028,3.73675e-10,1.8e-14,2.100862e-09,8.7e-06
0.05963623,357.8174,6.8e-14,0.0,2.087086e-09,0.0
0.07196857,431.8114,3.7034e-11,6e-15,2.073401e-09,2.7e-06
0.08685114,521.1068,2.1254e-11,6e-15,2.059805e-09,2.74e-06
0.10481131,628.8679,1.22923e-10,5.7e-14,2.046298e-09,2.803e-05
0.12648552,758.9131,1.44713e-10,1.19e-13,2.03288e-09,5.838e-05
0.1526418,915.8508,3.6729e-11,5.3e-14,2.01955e-09,2.621e-05
0.184207,1105.242,1.2e-14,0.0,2.006308e-09,2e-08
0.22229965,1333.7979,6.301e-12,2.8e-14,1.993152e-09,1.407e-05
0.26826958,1609.6175,1.1131e-11,8.7e-14,1.980082e-09,4.399e-05
0.32374575,1942.4745,2.876e-12,4e-14,1.967098e-09,2.01e-05
0.39069399,2344.164,7.59e-13,1.8e-14,1.9542e-09,9.39e-06
0.47148664,2828.9198,4.51e-13,1.9e-14,1.941386e-09,9.86e-06
0.5689866,3413.9196,1.6163e-11,1.207e-12,1.928656e-09,0.00062566
0.68664885,4119.8931,7.07e-13,9.3e-14,1.916009e-09,4.841e-05
0.82864277,4971.8566,1.606e-12,3.7e-13,1.903445e-09,0.00019454
1.0,6000.0,1.2e-14,5e-15,1.890964e-09,2.61e-06
